binomial,latitude,area,order,family,ebird_name,treelabels,clumin,clumax,bodmin,bodmax,is,migratory,mode,land,clu_geom,mass_geom
Abroscopus schisticeps,26.7005134626804,909217045092.938,Passeriformes,Scotocercidae,Abroscopus_schisticeps,Abroscopus_schisticeps,4,5,6,6,N,NA,altricial,land,4.472135954999579,6
Abroscopus superciliaris,10.660075601571704,2465845625443.22,Passeriformes,Scotocercidae,Abroscopus_superciliaris,Abroscopus_superciliaris,2,5,6,7,N,NA,altricial,land,3.162277660168379,6.4807406984078595
Acanthagenys rufogularis,-27.094410895299266,5969407751982.24,Passeriformes,Meliphagidae,Acanthagenys_rufogularis,Acanthagenys_rufogularis,2,3,34,77,N,NA,altricial,land,2.449489742783178,51.166395221864136
Acanthidops bairdi,9.564584036557225,4743278567.92749,Passeriformes,Thraupidae,Acanthidops_bairdi,Acanthidops_bairdii,4,4,16,16,N,NA,altricial,land,4,15.999999999999998
Acanthis flammea,64.47657822167247,19617920482155.6,Passeriformes,Fringillidae,Acanthis_flammea,Carduelis_flammea,2,7,13.6,20,N,migratory,altricial,land,3.741657386773941,16.49242250247064
Acanthisitta chloris,-42.229774765653616,149713415138.188,Passeriformes,Acanthisittidae,Acanthisitta_chloris,Acanthisitta_chloris,2,5,6,7,Y,NA,altricial,land,3.162277660168379,6.4807406984078595
Acanthiza apicalis,-27.622851835546673,4119611730922.05,Passeriformes,Acanthizidae,Acanthiza_apicalis,Acanthiza_apicalis,2,3,7,7,N,NA,altricial,land,2.449489742783178,6.999999999999999
Acanthiza chrysorrhoa,-28.96038027918104,4581972243763.02,Passeriformes,Acanthizidae,Acanthiza_chrysorrhoa,Acanthiza_chrysorrhoa,2,5,9,9,N,NA,altricial,land,3.162277660168379,9.000000000000002
Acanthiza ewingii,-41.940287969157225,66107799493.2303,Passeriformes,Acanthizidae,Acanthiza_ewingii,Acanthiza_ewingii,3,4,7,7,Y,NA,altricial,land,3.464101615137755,6.999999999999999
Acanthiza inornata,-32.660741768453406,136579522006.456,Passeriformes,Acanthizidae,Acanthiza_inornata,Acanthiza_inornata,3,3,7,7,N,NA,altricial,land,3.0000000000000004,6.999999999999999
Acanthiza iredalei,-31.208548855495547,983499016335.957,Passeriformes,Acanthizidae,Acanthiza_iredalei,Acanthiza_iredalei,2,4,6,6,N,NA,altricial,land,2.82842712474619,6
Acanthiza katherina,-17.759165039674997,58196090311.448,Passeriformes,Acanthizidae,Acanthiza_katherina,Acanthiza_katherina,2,3,7,7,N,NA,altricial,land,2.449489742783178,6.999999999999999
