order,family,name,genus,species,sea
Podicipediformes,Podicipedidae,Great Grebe,Podiceps,major,coastal
Podicipediformes,Podicipedidae,Horned Grebe,Podiceps,auritus,offshore
Podicipediformes,Podicipedidae,Red-necked Grebe,Podiceps,grisegena,offshore
Podicipediformes,Podicipedidae,Great Crested Grebe,Podiceps,cristatus,coastal
Podicipediformes,Podicipedidae,Eared Grebe,Podiceps,nigricollis,offshore
Podicipediformes,Podicipedidae,Western Grebe,Aechmophorus,occidentalis,coastal
Charadriiformes,Chionidae,Snowy Sheathbill,Chionis,albus,coastal
Charadriiformes,Chionidae,Black-faced Sheathbill,Chionis,minor,coastal
Charadriiformes,Scolopacidae,Red-necked Phalarope,Phalaropus,lobatus,pelagic
Charadriiformes,Scolopacidae,Red Phalarope,Phalaropus,fulicarius,pelagic
Charadriiformes,Stercorariidae,Great Skua,Stercorarius,skua,pelagic
Charadriiformes,Stercorariidae,Chilean Skua,Stercorarius,chilensis,coastal
Charadriiformes,Stercorariidae,South Polar Skua,Stercorarius,maccormicki,pelagic
Charadriiformes,Stercorariidae,Brown Skua,Stercorarius,antarcticus,pelagic
Charadriiformes,Stercorariidae,Pomarine Jaeger,Stercorarius,pomarinus,pelagic
Charadriiformes,Stercorariidae,Parasitic Jaeger,Stercorarius,parasiticus,pelagic
Charadriiformes,Stercorariidae,Long-tailed Jaeger,Stercorarius,longicaudus,pelagic
Charadriiformes,Alcidae,Little Auk,Alle,alle,pelagic
Charadriiformes,Alcidae,Common Guillemot,Uria,aalge,offshore
Charadriiformes,Alcidae,Bruennich's Guillemot,Uria,lomvia,offshore
Charadriiformes,Alcidae,Razorbill,Alca,torda,offshore
Charadriiformes,Alcidae,Black Guillemot,Cepphus,grylle,pelagic
Charadriiformes,Alcidae,Pigeon Guillemot,Cepphus,columba,coastal
Charadriiformes,Alcidae,Spectacled Guillemot,Cepphus,carbo,coastal
Charadriiformes,Alcidae,Long-billed Murrelet,Brachyramphus,perdix,coastal
Charadriiformes,Alcidae,Marbled Murrelet,Brachyramphus,marmoratus,offshore
