order,family,ebird_name,treelabels,binomial,clumin,clumax,bodmin,bodmax,is
Struthioniformes,Struthionidae,Struthio_camelus,Struthio_camelus,Struthio camelus,2,11,90000,156000,N
Rheiformes,Rheidae,Rhea_americana,Rhea_americana,Rhea americana,8,56,20000,25000,N
Rheiformes,Rheidae,Rhea_pennata,Rhea_pennata,Rhea pennata,6,50,15000,25000,N
Tinamiformes,Tinamidae,Tinamus_major,Tinamus_major,Tinamus major,2,12,700,1249,N
Tinamiformes,Tinamidae,Crypturellus_soui,Crypturellus_soui,Crypturellus soui,1,2,164,268,N
Tinamiformes,Tinamidae,Crypturellus_obsoletus,Crypturellus_obsoletus,Crypturellus obsoletus,3,4,490,600,N
Tinamiformes,Tinamidae,Crypturellus_undulatus,Crypturellus_undulatus,Crypturellus undulatus,4,5,462,621,N
Tinamiformes,Tinamidae,Crypturellus_strigulosus,Crypturellus_strigulosus,Crypturellus strigulosus,4,4,332,500,N
Tinamiformes,Tinamidae,Crypturellus_variegatus,Crypturellus_variegatus,Crypturellus variegatus,1,1,310,423,N
Tinamiformes,Tinamidae,Crypturellus_parvirostris,Crypturellus_parvirostris,Crypturellus parvirostris,2,5,141,250,N
Tinamiformes,Tinamidae,Crypturellus_tataupa,Crypturellus_tataupa,Crypturellus tataupa,4,5,169,298,N
Tinamiformes,Tinamidae,Rhynchotus_rufescens,Rhynchotus_rufescens,Rhynchotus rufescens,5,5,580,1040,N
Tinamiformes,Tinamidae,Nothoprocta_perdicaria,Nothoprocta_perdicaria,Nothoprocta perdicaria,5,12,458,458,N
Tinamiformes,Tinamidae,Nothoprocta_cinerascens,Nothoprocta_cinerascens,Nothoprocta cinerascens,7,10,457,615,N
Tinamiformes,Tinamidae,Nothura_darwinii,Nothura_darwinii,Nothura darwinii,3,9,192,330,N
Tinamiformes,Tinamidae,Nothura_maculosa,Nothura_maculosa,Nothura maculosa,3,9,173,323,N
Tinamiformes,Tinamidae,Eudromia_elegans,Eudromia_elegans,Eudromia elegans,5,16,676,892,N
Tinamiformes,Tinamidae,Tinamotis_pentlandii,Tinamotis_pentlandii,Tinamotis pentlandii,5,8,816,1250,N
Tinamiformes,Tinamidae,Tinamotis_ingoufi,Tinamotis_ingoufi,Tinamotis ingoufi,8,12,900,1000,N
Casuariiformes,Casuariidae,Casuarius_casuarius,Casuarius_casuarius,Casuarius casuarius,3,8,29000,58000,N
Casuariiformes,Casuariidae,Casuarius_bennetti,Casuarius_bennetti,Casuarius bennetti,3,5,17600,17600,Y
Casuariiformes,Casuariidae,Dromaius_novaehollandiae,Dromaius_novaehollandiae,Dromaius novaehollandiae,5,24,30000,55000,N
Apterygiformes,Apterygidae,Apteryx_australis,Apteryx_australis,Apteryx australis,1,3,1440,3850,Y
Apterygiformes,Apterygidae,Apteryx_mantelli,Apteryx_mantelli,Apteryx mantelli,1,2,1440,3850,Y
Apterygiformes,Apterygidae,Apteryx_owenii,Apteryx_owenii,Apteryx owenii,1,2,880,1950,Y
Apterygiformes,Apterygidae,Apteryx_haastii,Apteryx_haastii,Apteryx haastii,1,2,1215,3270,Y
Anseriformes,Anhimidae,Anhima_cornuta,Anhima_cornuta,Anhima cornuta,2,7,3000,3150,N
Anseriformes,Anhimidae,Chauna_torquata,Chauna_torquata,Chauna torquata,2,7,4400,4400,N
Anseriformes,Anseranatidae,Anseranas_semipalmata,Anseranas_semipalmata,Anseranas semipalmata,1,16,1405,3195,N
Anseriformes,Anatidae,Dendrocygna_guttata,Dendrocygna_guttata,Dendrocygna guttata,10,11,590,860,N
Anseriformes,Anatidae,Dendrocygna_viduata,Dendrocygna_viduata,Dendrocygna viduata,4,13,502,820,N
Anseriformes,Anatidae,Dendrocygna_autumnalis,Dendrocygna_autumnalis,Dendrocygna autumnalis,9,18,652.1,1020.6,N
Anseriformes,Anatidae,Dendrocygna_arborea,Dendrocygna_arborea,Dendrocygna arborea,6,12,760,1320,Y
Anseriformes,Anatidae,Dendrocygna_bicolor,Dendrocygna_bicolor,Dendrocygna bicolor,2,44,440,1050,N
Anseriformes,Anatidae,Dendrocygna_arcuata,Dendrocygna_arcuata,Dendrocygna arcuata,6,15,453,976,N
Anseriformes,Anatidae,Dendrocygna_javanica,Dendrocygna_javanica,Dendrocygna javanica,7,17,450,600,N
Anseriformes,Anatidae,Thalassornis_leuconotus,Thalassornis_leuconotus,Thalassornis leuconotus,4,10,625,790,N
Anseriformes,Anatidae,Anser_indicus,Anser_indicus,Anser indicus,3,8,2000,3000,N
Anseriformes,Anatidae,Anser_caerulescens,Chen_caerulescens,Anser caerulescens,2,6,1606,3307,N
Anseriformes,Anatidae,Anser_rossii,Chen_rossii,Anser rossii,1,8,860,2040,N
Anseriformes,Anatidae,Anser_anser,Anser_anser,Anser anser,4,6,2070,4560,N
Anseriformes,Anatidae,Anser_cygnoides,Anser_cygnoides,Anser cygnoid,4,8,2850,3500,N
Anseriformes,Anatidae,Anser_albifrons,Anser_albifrons,Anser albifrons,2,8,1809,3000,N
Anseriformes,Anatidae,Anser_erythropus,Anser_erythropus,Anser erythropus,2,8,1950,2300,N
Anseriformes,Anatidae,Anser_fabalis,Anser_fabalis,Anser fabalis,4,6,2220,4060,N
Anseriformes,Anatidae,Anser_brachyrhynchus,Anser_brachyrhynchus,Anser brachyrhynchus,2,8,1450,3860,Y
Anseriformes,Anatidae,Branta_bernicla,Branta_bernicla,Branta bernicla,1,10,850,1810,N
Anseriformes,Anatidae,Branta_leucopsis,Branta_leucopsis,Branta leucopsis,2,9,1300,2200,N
Anseriformes,Anatidae,Branta_hutchinsii,Branta_hutchinsii,Branta hutchinsii,3,6,1095,2180,N
Anseriformes,Anatidae,Branta_canadensis,Branta_canadensis,Branta canadensis,2,8,1311.5,4858.3,N
Anseriformes,Anatidae,Branta_sandvicensis,Branta_sandvicensis,Branta sandvicensis,1,6,1315,3050,Y
Anseriformes,Anatidae,Branta_ruficollis,Branta_ruficollis,Branta ruficollis,3,10,1058,1625,N
Anseriformes,Anatidae,Cereopsis_novaehollandiae,Cereopsis_novaehollandiae,Cereopsis novaehollandiae,4,5,3170,5100,N
Anseriformes,Anatidae,Stictonetta_naevosa,Stictonetta_naevosa,Stictonetta naevosa,5,10,691,1130,N
Anseriformes,Anatidae,Cyanochen_cyanoptera,Cyanochen_cyanoptera,Cyanochen cyanoptera,4,7,1305,2360,N
Anseriformes,Anatidae,Cygnus_olor,Cygnus_olor,Cygnus olor,3,9,6100,14100,N
Anseriformes,Anatidae,Cygnus_atratus,Cygnus_atratus,Cygnus atratus,4,9,3700,8750,N
Anseriformes,Anatidae,Cygnus_melancoryphus,Cygnus_melancoryphus,Cygnus melancoryphus,4,8,3500,8700,N
Anseriformes,Anatidae,Cygnus_buccinator,Cygnus_buccinator,Cygnus buccinator,1,9,7000,13600,N
Anseriformes,Anatidae,Cygnus_columbianus,Cygnus_columbianus,Cygnus columbianus,1,6,3800,10500,N
Anseriformes,Anatidae,Cygnus_cygnus,Cygnus_cygnus,Cygnus cygnus,2,12,5600,15500,N
Anseriformes,Anatidae,Coscoroba_coscoroba,Coscoroba_coscoroba,Coscoroba coscoroba,4,9,3100,5400,N
Anseriformes,Anatidae,Sarkidiornis_melanotos,Sarkidiornis_melanotos,Sarkidiornis melanotos,6,20,1230,2610,N
Anseriformes,Anatidae,Pteronetta_hartlaubii,Pteronetta_hartlaubii,Pteronetta hartlaubii,7,11,770,1140,N
Anseriformes,Anatidae,Oressochen_melanopterus,Chloephaga_melanoptera,Chloephaga melanoptera,5,10,2730,3640,N
Anseriformes,Anatidae,Chloephaga_picta,Chloephaga_picta,Chloephaga picta,5,8,2470,3560,N
Anseriformes,Anatidae,Chloephaga_poliocephala,Chloephaga_poliocephala,Chloephaga poliocephala,4,6,1470,2267,N
Anseriformes,Anatidae,Radjah_radjah,Tadorna_radjah,Radjah radjah,6,15,590,1130,N
Anseriformes,Anatidae,Alopochen_aegyptiaca,Alopochen_aegyptiaca,Alopochen aegyptiaca,1,22,1460,3010,N
Anseriformes,Anatidae,Tadorna_ferruginea,Tadorna_ferruginea,Tadorna ferruginea,6,16,925,1640,N
Anseriformes,Anatidae,Tadorna_cana,Tadorna_cana,Tadorna cana,1,21,700,2200,N
Anseriformes,Anatidae,Tadorna_tadornoides,Tadorna_tadornoides,Tadorna tadornoides,8,10,878,1980,N
Anseriformes,Anatidae,Tadorna_variegata,Tadorna_variegata,Tadorna variegata,5,15,1059,1980,Y
Anseriformes,Anatidae,Tadorna_tadorna,Tadorna_tadorna,Tadorna tadorna,3,18,562,1500,N
Anseriformes,Anatidae,Tachyeres_patachonicus,Tachyeres_patachonicus,Tachyeres patachonicus,5,9,1665,3600,N
Anseriformes,Anatidae,Tachyeres_pteneres,Tachyeres_pteneres,Tachyeres pteneres,4,8,3400,6500,N
Anseriformes,Anatidae,Tachyeres_brachypterus,Tachyeres_brachypterus,Tachyeres brachypterus,4,12,2900,4800,Y
Anseriformes,Anatidae,Tachyeres_leucocephalus,Tachyeres_leucocephalus,Tachyeres leucocephalus,3,6,2450,4400,N
Anseriformes,Anatidae,Lophonetta_specularioides,Lophonetta_specularioides,Lophonetta specularioides,5,8,1002.1,1017.2,N
Anseriformes,Anatidae,Speculanas_specularis,Speculanas_specularis,Speculanas specularis,4,7,900,1460,N
Anseriformes,Anatidae,Cairina_moschata,Cairina_moschata,Cairina moschata,8,15,1100,4000,N
Anseriformes,Anatidae,Nettapus_pulchellus,Nettapus_pulchellus,Nettapus pulchellus,8,12,245,430,N
Anseriformes,Anatidae,Nettapus_coromandelianus,Nettapus_coromandelianus,Nettapus coromandelianus,6,16,185,495,N
Anseriformes,Anatidae,Callonetta_leucophrys,Callonetta_leucophrys,Callonetta leucophrys,6,12,190,435,N
Anseriformes,Anatidae,Aix_galericulata,Aix_galericulata,Aix galericulata,7,14,428,693,N
Anseriformes,Anatidae,Chenonetta_jubata,Chenonetta_jubata,Chenonetta jubata,8,11,662,984,N
Anseriformes,Anatidae,Amazonetta_brasiliensis,Amazonetta_brasiliensis,Amazonetta brasiliensis,6,11,350,623,N
Anseriformes,Anatidae,Hymenolaimus_malacorhynchos,Hymenolaimus_malacorhynchos,Hymenolaimus malacorhynchos,4,9,680,1077,Y
Anseriformes,Anatidae,Merganetta_armata,Merganetta_armata,Merganetta armata,3,4,307,440,N
Anseriformes,Anatidae,Sibirionetta_formosa,Anas_formosa,Sibirionetta formosa,4,10,360,520,N
Anseriformes,Anatidae,Spatula_querquedula,Anas_querquedula,Spatula querquedula,6,14,240,585,N
Anseriformes,Anatidae,Spatula_hottentota,Anas_hottentota,Spatula hottentota,5,12,216,288,N
Anseriformes,Anatidae,Spatula_versicolor,Anas_versicolor,Spatula versicolor,6,10,373,473,N
Anseriformes,Anatidae,Spatula_puna,Anas_puna,Spatula puna,5,6,546,560,N
Anseriformes,Anatidae,Spatula_discors,Anas_discors,Spatula discors,6,14,352,431,N
Anseriformes,Anatidae,Spatula_cyanoptera,Anas_cyanoptera,Spatula cyanoptera,4,16,335,401,N
Anseriformes,Anatidae,Spatula_platalea,Anas_platalea,Spatula platalea,5,10,467,686,N
Anseriformes,Anatidae,Spatula_smithii,Anas_smithii,Spatula smithii,5,12,476,830,N
Anseriformes,Anatidae,Spatula_rhynchotis,Anas_rhynchotis,Spatula rhynchotis,9,11,545,852,N
Anseriformes,Anatidae,Spatula_clypeata,Anas_clypeata,Spatula clypeata,5,14,400,800,N
Anseriformes,Anatidae,Mareca_strepera,Anas_strepera,Mareca strepera,7,12,550,1000,N
Anseriformes,Anatidae,Mareca_falcata,Anas_falcata,Mareca falcata,6,10,422,770,N
Anseriformes,Anatidae,Mareca_penelope,Anas_penelope,Mareca penelope,6,12,500,1000,N
Anseriformes,Anatidae,Mareca_americana,Anas_americana,Mareca americana,3,12,665,1330,N
Anseriformes,Anatidae,Mareca_sibilatrix,Anas_sibilatrix,Mareca sibilatrix,5,9,720,1085,N
Anseriformes,Anatidae,Anas_sparsa,Anas_sparsa,Anas sparsa,4,9,914,1086,N
Anseriformes,Anatidae,Anas_undulata,Anas_undulata,Anas undulata,4,17,533,1310,N
Anseriformes,Anatidae,Anas_melleri,Anas_melleri,Anas melleri,5,11,832,1240,Y
Anseriformes,Anatidae,Anas_superciliosa,Anas_superciliosa,Anas superciliosa,3,15,560,1400,N
Anseriformes,Anatidae,Anas_laysanensis,Anas_laysanensis,Anas laysanensis,3,6,340,625,Y
Anseriformes,Anatidae,Anas_luzonica,Anas_luzonica,Anas luzonica,7,16,725,977,Y
Anseriformes,Anatidae,Anas_poecilorhyncha,Anas_poecilorhyncha,Anas poecilorhyncha,6,12,790,1500,N
Anseriformes,Anatidae,Anas_platyrhynchos,Anas_platyrhynchos,Anas platyrhynchos,1,13,735,1800,N
Anseriformes,Anatidae,Anas_rubripes,Anas_rubripes,Anas rubripes,1,14,1090,1317,N
Anseriformes,Anatidae,Anas_fulvigula,Anas_fulvigula,Anas fulvigula,8,12,590,1380,N
Anseriformes,Anatidae,Anas_capensis,Anas_capensis,Anas capensis,5,15,316,502,N
Anseriformes,Anatidae,Anas_bahamensis,Anas_bahamensis,Anas bahamensis,5,12,395,693,N
Anseriformes,Anatidae,Anas_erythrorhyncha,Anas_erythrorhyncha,Anas erythrorhyncha,5,13,338,955,N
Anseriformes,Anatidae,Anas_acuta,Anas_acuta,Anas acuta,3,12,735,1030,N
Anseriformes,Anatidae,Anas_georgica,Anas_georgica,Anas georgica,3,12,460,655,N
Anseriformes,Anatidae,Anas_crecca,Anas_crecca,Anas crecca,6,9,200,450,N
Anseriformes,Anatidae,Anas_flavirostris,Anas_flavirostris,Anas flavirostris,5,13,388,830,N
Anseriformes,Anatidae,Anas_gracilis,Anas_gracilis,Anas gracilis,4,17,350,670,N
Anseriformes,Anatidae,Anas_castanea,Anas_castanea,Anas castanea,5,17,505,816,N
Anseriformes,Anatidae,Anas_bernieri,Anas_bernieri,Anas bernieri,2,10,270,450,Y
Anseriformes,Anatidae,Anas_aucklandica,Anas_aucklandica,Anas aucklandica,1,6,409,620,Y
Anseriformes,Anatidae,Anas_chlorotis,Anas_chlorotis,Anas chlorotis,3,9,530,860,Y
Anseriformes,Anatidae,Malacorhynchus_membranaceus,Malacorhynchus_membranaceus,Malacorhynchus membranaceus,3,11,272,480,N
Anseriformes,Anatidae,Marmaronetta_angustirostris,Marmaronetta_angustirostris,Marmaronetta angustirostris,5,20,327,590,N
Anseriformes,Anatidae,Asarcornis_scutulata,Cairina_scutulata,Asarcornis scutulata,6,15,1700,4300,N
Anseriformes,Anatidae,Netta_rufina,Netta_rufina,Netta rufina,6,14,830,1420,N
Anseriformes,Anatidae,Netta_peposaca,Netta_peposaca,Netta peposaca,10,10,1000,1180,N
Anseriformes,Anatidae,Aythya_valisineria,Aythya_valisineria,Aythya valisineria,5,11,863,1589,N
Anseriformes,Anatidae,Aythya_americana,Aythya_americana,Aythya americana,7,14,630,1500,N
Anseriformes,Anatidae,Aythya_ferina,Aythya_ferina,Aythya ferina,3,15,467,1240,N
Anseriformes,Anatidae,Aythya_collaris,Aythya_collaris,Aythya collaris,5,14,490,910,N
Anseriformes,Anatidae,Aythya_nyroca,Aythya_nyroca,Aythya nyroca,4,10,464,730,N
Anseriformes,Anatidae,Aythya_australis,Aythya_australis,Aythya australis,6,13,525,1100,N
Anseriformes,Anatidae,Aythya_fuligula,Aythya_fuligula,Aythya fuligula,3,14,560,1020,N
Anseriformes,Anatidae,Aythya_marila,Aythya_marila,Aythya marila,5,13,700,1372,N
Anseriformes,Anatidae,Aythya_affinis,Aythya_affinis,Aythya affinis,6,14,550,1200,N
Anseriformes,Anatidae,Polysticta_stelleri,Polysticta_stelleri,Polysticta stelleri,3,9,625,1010,N
Anseriformes,Anatidae,Somateria_fischeri,Somateria_fischeri,Somateria fischeri,1,11,1275,1850,N
Anseriformes,Anatidae,Somateria_spectabilis,Somateria_spectabilis,Somateria spectabilis,1,7,1113,2000,N
Anseriformes,Anatidae,Somateria_mollissima,Somateria_mollissima,Somateria mollissima,1,14,1300,2611,N
Anseriformes,Anatidae,Histrionicus_histrionicus,Histrionicus_histrionicus,Histrionicus histrionicus,3,9,485,750,N
Anseriformes,Anatidae,Melanitta_perspicillata,Melanitta_perspicillata,Melanitta perspicillata,6,9,859,1192,N
Anseriformes,Anatidae,Melanitta_fusca,Melanitta_fusca,Melanitta fusca,5,12,1140,2104,N
Anseriformes,Anatidae,Melanitta_nigra,Melanitta_nigra,Melanitta nigra,4,11,964,1339,N
Anseriformes,Anatidae,Clangula_hyemalis,Clangula_hyemalis,Clangula hyemalis,2,11,500,1100,N
Anseriformes,Anatidae,Bucephala_albeola,Bucephala_albeola,Bucephala albeola,4,17,295,465,N
Anseriformes,Anatidae,Bucephala_clangula,Bucephala_clangula,Bucephala clangula,4,13,500,1400,N
Anseriformes,Anatidae,Bucephala_islandica,Bucephala_islandica,Bucephala islandica,2,12,580,1320,N
Anseriformes,Anatidae,Mergellus_albellus,Mergellus_albellus,Mergellus albellus,5,11,540,935,N
Anseriformes,Anatidae,Lophodytes_cucullatus,Lophodytes_cucullatus,Lophodytes cucullatus,5,13,453,879,N
Anseriformes,Anatidae,Mergus_merganser,Mergus_merganser,Mergus merganser,4,13,900,2100,N
Anseriformes,Anatidae,Mergus_serrator,Mergus_serrator,Mergus serrator,3,24,900,1350,N
Anseriformes,Anatidae,Mergus_squamatus,Mergus_squamatus,Mergus squamatus,4,14,870,1400,N
Anseriformes,Anatidae,Nomonyx_dominicus,Nomonyx_dominicus,Nomonyx dominicus,4,6,346,385,N
Anseriformes,Anatidae,Oxyura_leucocephala,Oxyura_leucocephala,Oxyura leucocephala,4,10,510,900,N
Anseriformes,Anatidae,Oxyura_maccoa,Oxyura_maccoa,Oxyura maccoa,4,12,516,820,N
Anseriformes,Anatidae,Oxyura_vittata,Oxyura_vittata,Oxyura vittata,3,5,510,850,N
Anseriformes,Anatidae,Oxyura_australis,Oxyura_australis,Oxyura australis,3,12,476,1300,N
Anseriformes,Anatidae,Biziura_lobata,Biziura_lobata,Biziura lobata,1,6,993,3120,N
Galliformes,Megapodiidae,Alectura_lathami,Alectura_lathami,Alectura lathami,12,58,1980,2950,N
Galliformes,Megapodiidae,Leipoa_ocellata,Leipoa_ocellata,Leipoa ocellata,2,34,1520,2800,N
Galliformes,Megapodiidae,Macrocephalon_maleo,Macrocephalon_maleo,Macrocephalon maleo,10,30,1365,1758,Y
Galliformes,Megapodiidae,Megapodius_pritchardii,Megapodius_pritchardii,Megapodius pritchardii,12,12,310,500,Y
